root_recipe_id,root_recipe,integrated_input,supplier_recipe_id,supplier_recipe,internal_quantity,supplier_output_quantity,root_input_quantity,individual_two_building_profit,integrated_two_building_profit,integration_gain,integration_is_better
r_127,Precision Electrical Components,copper_wiring,r_008,Copper Wire Drawing,12.0,32.0,12.0,33.989,36.767,2.778,True
r_127,Precision Electrical Components,pvc,r_175,PVC Polymerisation,5.0,16.0,5.0,33.984,35.603,1.62,True
r_127,Precision Electrical Components,refined_ree,r_041,Rare Earth Reduction,5.0,6.0,5.0,33.98,37.145,3.165,True
r_131,Hydrogen Power,hydrogen,r_079,Water Electrolysis,2.0,14.0,2.0,144.21,145.06,0.85,True
r_132,Alloy Metal Smelting,alloy_ore,r_134,Alloy Metal Mining,20.0,24.0,20.0,15.003,16.965,1.962,True
r_133,Alloy Metal Electrolysis,alloy_ore,r_134,Alloy Metal Mining,20.0,24.0,20.0,35.226,37.188,1.962,True
r_133,Alloy Metal Electrolysis,sodium_hydroxide,r_012,Chlor-Alkali Process,5.0,44.0,5.0,32.768,34.268,1.5,True
r_135,Fibreglass Production,glass,r_053,Industrial Glassmaking,3.0,32.0,3.0,14.996,15.431,0.435,True
r_135,Fibreglass Production,plastics,r_024,Plastics Manufacturing,3.0,12.0,3.0,12.5,13.394,0.894,True
r_136,Iron Air Batteries,iron_ingots,r_005,Pig Iron Smelting,6.0,70.0,6.0,9.596,10.192,0.596,True
r_136,Iron Air Batteries,oxygen,r_079,Water Electrolysis,2.0,7.0,2.0,7.041,7.586,0.545,True
r_136,Iron Air Batteries,steel,r_003,Steelmaking,4.0,48.0,4.0,12.224,12.791,0.567,True
r_136,Iron Air Batteries,pure_water,r_011,Water Pumping,4.0,48.0,4.0,9.373,9.942,0.569,True
r_150,Petroleum Needle Coke Calcination,pet_coke,r_218,Petroleum Coking,16.0,18.0,16.0,14.992,18.199,3.207,True
r_151,Petroleum Needle Coke Power,pet_coke,r_218,Petroleum Coking,8.0,18.0,8.0,15.038,16.641,1.604,True
r_154,Coal Liquefaction,coal,r_001,Coal Mining,10.0,60.0,10.0,161.669,162.369,0.7,True
r_154,Coal Liquefaction,hydrogen,r_079,Water Electrolysis,2.0,14.0,2.0,160.091,160.941,0.85,True
r_165,Radial Axial Tire Production,rubber,r_028,Synthetic Rubber Production,16.0,17.0,16.0,23.383,27.134,3.75,True
r_165,Radial Axial Tire Production,sulphur,r_179,Sulphur Mining,11.0,24.0,11.0,23.366,24.445,1.079,True
r_165,Radial Axial Tire Production,steel,r_003,Steelmaking,20.0,48.0,20.0,26.983,29.818,2.835,True
r_175,PVC Polymerisation,ethylene,r_023,Ethylene Refining,13.0,13.0,13.0,12.505,18.382,5.877,True
r_175,PVC Polymerisation,chlorine,r_012,Chlor-Alkali Process,13.0,22.0,13.0,12.53,16.378,3.848,True
r_180,Oil Refining,crude_oil,r_014,Oil Drilling,20.0,20.0,20.0,14.994,18.46,3.466,True
r_181,Oil Power Production,processed_oil,r_180,Oil Refining,6.0,18.0,6.0,14.977,16.494,1.516,True
r_203,Hairpin Stator Motors,steel,r_003,Steelmaking,8.0,48.0,8.0,24.918,26.052,1.134,True
r_203,Hairpin Stator Motors,copper_wiring,r_008,Copper Wire Drawing,12.0,32.0,12.0,21.318,24.096,2.778,True
r_203,Hairpin Stator Motors,refined_ree,r_041,Rare Earth Reduction,3.0,6.0,3.0,21.31,23.209,1.899,True
r_204,Heavy Vehicles Assembly,car_body,r_068,Car Body Manufacturing,14.0,14.0,14.0,22.861,31.894,9.033,True
r_204,Heavy Vehicles Assembly,large_engine,r_073,Large Vehicle Engine Manufacturing,11.0,11.0,11.0,30.356,54.518,24.162,True
r_204,Heavy Vehicles Assembly,lithium_battery,r_032,Lithium Ion Battery Manufacturing,6.0,6.0,7.0,-10.523,-2.723,7.8,True
r_204,Heavy Vehicles Assembly,fuels,r_022,Fuels Refining,22.0,22.0,22.0,22.854,28.098,5.244,True
r_205,Heavy Vehicles Automated Manufacturing,car_body,r_068,Car Body Manufacturing,14.0,14.0,14.0,57.844,66.877,9.033,True
r_205,Heavy Vehicles Automated Manufacturing,large_engine,r_073,Large Vehicle Engine Manufacturing,11.0,11.0,11.0,65.338,89.5,24.162,True
r_205,Heavy Vehicles Automated Manufacturing,lithium_battery,r_032,Lithium Ion Battery Manufacturing,6.0,6.0,7.0,24.46,32.26,7.8,True
r_205,Heavy Vehicles Automated Manufacturing,fuels,r_022,Fuels Refining,22.0,22.0,22.0,57.836,63.08,5.244,True
r_206,Electric Heavy Vehicles Manufacturing,car_body,r_068,Car Body Manufacturing,14.0,14.0,14.0,69.973,79.006,9.033,True
r_206,Electric Heavy Vehicles Manufacturing,large_engine,r_073,Large Vehicle Engine Manufacturing,11.0,11.0,11.0,77.467,101.629,24.162,True
r_206,Electric Heavy Vehicles Manufacturing,lithium_battery,r_032,Lithium Ion Battery Manufacturing,6.0,6.0,9.0,36.589,44.389,7.8,True
r_207,Heavy Electric Motor,steel,r_003,Steelmaking,16.0,48.0,16.0,64.432,66.7,2.268,True
r_207,Heavy Electric Motor,aluminium,r_050,Aluminium (Hall Heroult) Smelting,12.0,20.0,12.0,58.326,62.34,4.015,True
r_207,Heavy Electric Motor,motor,r_009,Motor Manufacture,16.0,28.0,16.0,60.817,69.133,8.317,True
r_207,Heavy Electric Motor,electrical_components,r_126,Electrical Components Production,8.0,12.0,8.0,60.828,65.742,4.914,True
r_208,Sustainable Biomass Production,fertilisers,r_047,Fertilisers Production,1.0,24.0,1.0,207.225,207.883,0.658,True
r_209,Strip Farming - Biomass,fertilisers,r_047,Fertilisers Production,4.0,24.0,4.0,176.182,178.815,2.633,True
r_209,Strip Farming - Biomass,pure_water,r_011,Water Pumping,2.0,48.0,2.0,-30.153,-29.869,0.284,True
r_212,Livestock Farming - Biomass,pure_water,r_011,Water Pumping,3.0,48.0,3.0,9.641,10.068,0.427,True
r_217,Biomass Carbonisation,biomass,r_211,Agri Solar Farming - Biomass,10.0,10.0,24.0,8.486,9.34,0.855,True
r_218,Petroleum Coking,crude_oil,r_014,Oil Drilling,20.0,20.0,20.0,14.996,18.462,3.466,True
r_219,Copper Pipe Moulding,copper_ingots,r_007,Copper Blistering,14.0,24.0,14.0,37.095,39.45,2.355,True
r_219,Copper Pipe Moulding,chem_salts,r_010,Salt Mining,2.0,10.0,2.0,36.214,36.414,0.2,True
r_220,Copper Pipe Manufacturing,copper_ingots,r_007,Copper Blistering,14.0,24.0,14.0,67.278,69.633,2.355,True
r_220,Copper Pipe Manufacturing,industrial_acids,r_114,Hydrochloric Acid Production,1.0,45.0,1.0,67.385,67.819,0.433,True
r_226,Magnetic Separation Electrolysis,ree_ore,r_017,Rare Earth Mining,10.0,12.0,10.0,34.695,36.145,1.45,True
r_226,Magnetic Separation Electrolysis,pure_water,r_011,Water Pumping,4.0,48.0,4.0,35.449,36.018,0.569,True
r_227,Rudimentary Lithium Refinement,lithium_ore,r_016,Lithium Mining,8.0,8.0,8.0,15.007,16.543,1.535,True
r_227,Rudimentary Lithium Refinement,industrial_acids,r_114,Hydrochloric Acid Production,3.0,45.0,3.0,15.117,16.417,1.301,True
r_228,Bio Ethylene,biomass,r_211,Agri Solar Farming - Biomass,10.0,10.0,10.0,61.893,62.747,0.854,True
