recipe_id,recipe,building,primary_output,formula_price,output_ratio,suggested_outputs,current_output_qty,canonical_supply_floor,unrounded_output_qty,suggested_output_qty,output_rounding,output_multiplier,labour_unskilled,labour_skilled,labour_h_skilled,labour_bill,input_bill,energy_bill,maintenance_bill,one_turn_inbound_freight,one_turn_outbound_freight,one_turn_working_inventory_warehouse_reserve,target_profit,planned_pre_tax_cash_after_freight_and_warehouse,target_min,target_max,in_target_band
r_179,Sulphur Mining,mine,sulphur,0.962,sulphur:1,sulphur:24,24.0,24.0,24.0,24,unit precision,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.36,0.24,7.5,7.5,5.0,10.0,True
r_180,Oil Refining,petro_refinery,processed_oil,2.655,processed_oil:1,processed_oil:18,18.0,18.0,18.0,18,unit precision,1.0,882,335,50,7.638,22.377,7.0,1.0,0.6,0.54,1.14,7.5,7.5,5.0,10.0,True
r_181,Oil Power Production,coal_power,power,0.06,power:1,power:525,525.0,,525.165,525,multiple of 5,1.0,500,126,66,4.922,16.728,0.0,2.0,0.18,0.0,0.18,7.5,7.49,5.0,10.0,True
r_203,Hairpin Stator Motors,assembly_plant,motor,9.298,motor:1,motor:23,28.0,28.0,23.023,23,unit precision,0.821,3949,3512,1183,84.208,98.771,2.0,13.0,0.285,0.345,0.46,15.0,14.785,5.0,30.0,True
r_204,Heavy Vehicles Assembly,industrial_factory,heavy_vehicle,192.141,heavy_vehicle:1,heavy_vehicle:5,5.0,5.0,5.0,5,unit precision,1.0,7114,2668,270,57.018,876.994,2.0,7.0,1.515,0.15,1.03,15.0,15.0,0.0,30.0,True
r_205,Heavy Vehicles Automated Manufacturing,assembly_plant,heavy_vehicle,192.141,heavy_vehicle:1,heavy_vehicle:6,5.0,5.0,5.567,6,unit precision,1.2,5863,5213,1755,124.966,876.994,2.0,13.0,1.515,0.18,1.04,50.0,133.153,30.0,70.0,False
r_206,Electric Heavy Vehicles Manufacturing,assembly_plant,heavy_vehicle,192.141,heavy_vehicle:1,heavy_vehicle:5,5.0,5.0,5.484,5,unit precision,1.0,4802,4269,1438,102.365,874.816,2.0,13.0,0.885,0.15,0.39,60.0,-32.899,60.0,90.0,False
r_207,Heavy Electric Motor,assembly_plant,large_engine,41.196,large_engine:1,large_engine:13,13.0,11.0,12.608,13,unit precision,1.0,5863,5213,1755,124.966,347.641,2.0,13.0,0.78,0.39,0.65,30.0,46.126,20.0,60.0,True
r_208,Sustainable Biomass Production,farm,biomass,0.664,biomass:3|waste_water:1,biomass:42|waste_water:14,15.0,24.0,41.045,42,integer ratio batch,2.8,966,147,50,6.102,3.467,1.0,1.0,0.015,0.84,0.85,15.0,15.619,5.0,30.0,True
r_209,Strip Farming - Biomass,farm,biomass,0.664,biomass:8|waste_water:5,biomass:48|waste_water:30,24.0,24.0,46.936,48,integer ratio batch,2.0,966,147,50,6.102,14.767,1.0,1.0,0.12,1.38,1.48,7.5,8.194,5.0,10.0,True
r_211,Agri Solar Farming - Biomass,farm,biomass,0.664,biomass:2|waste_water:1,biomass:24|waste_water:12,10.0,24.0,24.0,24,integer ratio batch,2.4,966,147,50,6.102,0,1.0,1.0,0.0,0.6,0.6,7.5,7.5,5.0,10.0,True
r_212,Livestock Farming - Biomass,farm,biomass,0.664,biomass:6|waste_water:5,biomass:24|waste_water:20,12.0,24.0,26.178,24,integer ratio batch,2.0,966,147,50,6.102,1.349,1.0,1.0,0.09,0.84,0.93,7.5,6.075,5.0,10.0,True
r_213,Aggressive Logging - Biomass,new_forest,biomass,0.664,biomass:1,biomass:40,30.0,24.0,41.446,40,multiple of 5,1.333,2898,448,50,15.174,0,1.0,3.0,0.0,0.4,0.4,7.5,6.57,5.0,10.0,True
r_214,Sustainable Forestry - Biomass,new_forest,biomass,0.664,biomass:1,biomass:75,55.0,24.0,76.405,75,multiple of 5,1.364,2898,448,50,15.174,0,1.0,3.0,0.0,0.75,0.75,30.0,29.095,20.0,60.0,True
r_215,Gentle Pruning - Biomass,new_forest,biomass,0.664,biomass:1,biomass:40,30.0,24.0,41.446,40,multiple of 5,1.333,2898,448,50,15.174,0,1.0,3.0,0.0,0.4,0.4,7.5,6.57,5.0,10.0,True
r_217,Biomass Carbonisation,furnace,carbonised_biomass,2.618,carbonised_biomass:1,carbonised_biomass:18,18.0,18.0,18.0,18,unit precision,1.0,788,296,50,6.963,16.723,14.0,1.0,0.24,0.27,0.42,7.5,7.5,5.0,10.0,True
r_218,Petroleum Coking,petro_refinery,pet_coke,3.009,pet_coke:1,pet_coke:18,18.0,18.0,18.0,18,unit precision,1.0,882,335,50,7.638,22.377,14.0,1.0,0.6,0.27,0.78,7.5,7.5,5.0,10.0,True
r_219,Copper Pipe Moulding,furnace,copper_pipe,3.018,copper_pipe:1,copper_pipe:27,27.0,18.0,26.752,27,unit precision,1.0,643,241,50,5.971,35.704,7.0,1.0,0.24,0.405,0.43,30.0,30.743,20.0,60.0,True
r_220,Copper Pipe Manufacturing,industrial_factory,copper_pipe,3.018,copper_pipe:1,copper_pipe:40,48.0,18.0,38.048,40,multiple of 5,0.833,3870,1451,147,31.018,38.391,7.0,7.0,0.24,0.6,0.64,30.0,35.843,20.0,60.0,True
r_221,Deepwater Oil Extraction,offshore_oil_platform,crude_oil,1.066,crude_oil:1,crude_oil:45,45.0,20.0,44.417,45,multiple of 5,1.0,1722,266,50,9.664,0,3.0,2.0,0.0,1.35,1.35,30.0,30.586,20.0,60.0,True
r_222,Subsea Manifold Extraction,offshore_oil_platform,crude_oil,1.066,crude_oil:1,crude_oil:75,75.0,20.0,74.251,75,multiple of 5,1.0,1722,266,50,9.664,0,3.0,2.0,0.0,2.25,2.25,60.0,60.753,30.0,100.0,True
r_223,Floating Offshore Wind Power,offshore_wind_farm,power,0.06,power:1,power:1120,1120.0,,1119.333,1120,multiple of 5,1.0,500,100,50,4.16,0,0.0,3.0,0.0,0.0,0.0,60.0,60.04,30.0,100.0,True
r_224,Hydroelectric Power,hydro_power_plant,power,0.06,power:1,power:370,370.0,,369.333,370,multiple of 5,1.0,500,100,50,4.16,0,0.0,3.0,0.0,0.0,0.0,15.0,15.04,5.0,30.0,True
r_226,Magnetic Separation Electrolysis,electrolyser,refined_ree,11.376,refined_ree:1,refined_ree:7,7.0,6.0,7.415,7,unit precision,1.0,784,294,50,6.931,21.749,24.0,1.0,0.27,0.105,0.29,30.0,25.288,20.0,60.0,True
r_227,Rudimentary Lithium Refinement,furnace,lithium_carbonate,6.653,lithium_carbonate:1,lithium_carbonate:9,9.0,9.0,8.999,9,unit precision,1.0,616,231,50,5.789,34.766,10.0,1.0,0.21,0.135,0.47,7.5,7.508,5.0,10.0,True
r_228,Bio Ethylene,chem_plant,ethylene,3.842,ethylene:1,ethylene:27,28.0,13.0,27.063,27,unit precision,0.964,2408,903,91,19.286,6.968,10.0,4.0,0.1,0.81,2.8,60.0,59.768,30.0,100.0,True
