recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,input_6,qty_6,energy_req,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements,pollution_output,pollution_sensitivity,category,terminal_turns,required_research,labour_unskilled_required,labour_skilled_required,labour_h_skilled_required,catalysts
r_162,Wood Toy Craftsmanship,factory,wood,2,,,,,,,,,,,20,toys,10,,,,,,,,,,,,,,,3831,1437,145,
r_163,plastics Toy Manufacturing,factory,plastics,2,,,,,,,,,,,20,toys,20,,,,,,,,,,,,,,,3831,1437,145,
r_164,plastics Toy Mass Production,factory,plastics,4,,,,,,,,,,,20,toys,50,,,,,,,,,,,,,,,3831,1437,145,
r_165,Radial Axial Tire Production,factory,rubber,16,sulphur,11,steel,20,,,,,,,20,tyres,36,,,,,,,,,,,,,,,6850,2569,260,
r_166,Food Paper Packaging,consumer_goods_factory,food,5,paper_products,2,,,,,,,,,20,food_products,5,,,,,,,,,,,,,,consumer,500,154,55,
r_167,plastics Food Packaging,consumer_goods_factory,food,5,plastics,2,,,,,,,,,20,food_products,5,,,,,,,,,,,,,,consumer,500,154,55,
r_168,Fabric Crops Farming,farm,pure_water,2,,,,,,,,,,,10,fabric_crops,4,biomass,1,,,,,,,,,,,,,966,147,50,
r_169,Oil Crops Farming,farm,pure_water,2,,,,,,,,,,,10,oil_crops,4,biomass,1,,,,,,,,,,,,,966,147,50,
r_170,Intensive Fabric Crops Farming,farm,fertilisers,2,pure_water,4,,,,,,,,,10,fabric_crops,6,biomass,2,,,,,,,,,,,,,966,147,50,
r_171,Intensive Oil Crops Farming,farm,fertilisers,2,pure_water,4,,,,,,,,,10,oil_crops,6,biomass,2,,,,,,,,,,,,,966,147,50,
r_172,Pharmaceutical Precuror Production,bio_chem_plant,methanol,2,,,,,,,,,,,20,api,2,,,,,,,,,,,,,,,500,100,50,
r_173,Specialty Microbe Production,bio_chem_plant,biomass,2,ethanol,1,,,,,,,,,20,spec_microbes,2,,,,,,,,,,,,,,,500,100,50,
r_174,Methanol Production,petro_refinery,methane,2,hydrogen,1,oxygen,1,,,,,,,70,methanol,3,,,,,,,,,,,,,,,756,287,50,
r_175,PVC Polymerisation,poly_plant,ethylene,13,chlorine,13,,,,,,,,,70,pvc,16,,,,,,,,,,,,Chemistry,,,736,438,88,
r_177,Shale Oil Fracking,fracking_oil_well,,,,,,,,,,,,,30,crude_oil,29,,,,,,,,,deposit:shale_oil,,,Oil Extraction,,Shale Oil Fracturing,1722,266,50,
r_178,Offshore Oil Extraction,offshore_oil_platform,,,,,,,,,,,,,30,crude_oil,45,,,,,,,,,deposit:crude_oil,,,Oil Extraction,,Offshore Drilling Platforms,1722,266,50,
r_179,Sulphur Mining,mine,,,,,,,,,,,,,30,sulphur,24,,,,,,,,,deposit:sulphur,,,Mineral Mining,,,1806,273,50,
r_180,Oil Refining,petro_refinery,crude_oil,20,,,,,,,,,,,70,processed_oil,18,,,,,,,,,,,,Refining,,,882,335,50,
r_181,Oil Power Production,coal_power,processed_oil,6,,,,,,,,,,,0,power,525,,,,,,,,,,,,Power,,,500,126,66,
r_203,Hairpin Stator Motors,assembly_plant,steel,8,copper_wiring,12,refined_ree,3,,,,,,,20,motor,28,,,,,,,,,,,,Industrial Equipment,,Hairpin Stator Winding,2091,3679,2833,
r_204,Heavy Vehicles Assembly,factory,car_body,14,large_engine,11,lithium_battery,7,fuels,22,,,,,20,heavy_vehicle,5,,,,,,,,,,,,Car And Large Vehicles,,,14732,9157,2637,
r_205,Heavy Vehicles Automated Manufacturing,assembly_plant,car_body,14,large_engine,11,lithium_battery,7,fuels,22,,,,,20,heavy_vehicle,5,,,,,,,,,,,,Car And Large Vehicles,,Heavy Vehicle Assembly,2657,4953,3825,
r_206,Electric Heavy Vehicles Manufacturing,assembly_plant,car_body,14,large_engine,11,lithium_battery,9,,,,,,,20,heavy_vehicle,5,,,,,,,,,,,,Car And Large Vehicles,,Electric Drivetrain Integration,1911,4334,3814,
r_207,Heavy Electric Motor,assembly_plant,steel,16,aluminium,12,motor,16,electrical_components,8,,,,,20,large_engine,13,,,,,,,,,,,,Vehicle Components,,Motor Winding Automation,5863,5213,1755,
r_208,Sustainable Biomass Production,farm,fertilisers,1,,,,,,,,,,,10,biomass,15,waste_water,5,,,,,,,,,,Farming,,Energy Crop Cultivation,966,147,50,
r_209,Strip Farming - Biomass,farm,fertilisers,4,pure_water,2,,,,,,,,,10,biomass,24,waste_water,15,,,,,,,,1,,Farming,20,,966,147,50,
r_211,Agri Solar Farming - Biomass,farm,,,,,,,,,,,,,10,biomass,10,waste_water,5,,,,,,,solar_farm,,,Farming,,,966,147,50,
r_212,Livestock Farming - Biomass,farm,pure_water,3,,,,,,,,,,,10,biomass,12,waste_water,10,,,,,,,2 farms,1,,Farming,,,966,147,50,
r_213,Aggressive Logging - Biomass,forest,,,,,,,,,,,,,10,biomass,30,,,,,,,,,,1,,Forestry,15,,2898,448,50,
r_214,Sustainable Forestry - Biomass,forest,,,,,,,,,,,,,10,biomass,55,,,,,,,,,,,,Forestry,,Sustainable Forestry,2898,448,50,
r_215,Gentle Pruning - Biomass,forest,,,,,,,,,,,,,10,biomass,30,,,,,,,,,,,,Forestry,,,2898,448,50,
r_216,National Park Tourism - Biomass,forest,plastics,1,,,,,,,,,,,10,biomass,3,money,20,municipal_waste,1,,,,,,,,Forestry,,,2898,448,50,
r_217,Biomass Carbonisation,furnace,biomass,24,,,,,,,,,,,140,carbonised_biomass,18,,,,,,,,,,,,Carbon,,,788,296,50,
r_218,Petroleum Coking,petro_refinery,crude_oil,20,,,,,,,,,,,140,pet_coke,18,,,,,,,,,,,,Carbon,,,882,335,50,
r_219,Copper Pipe Moulding,furnace,copper_ingots,14,chem_salts,2,,,,,,,,,70,copper_pipe,27,,,,,,,,,,,,Copper Products,,Alloy Heat Treatment,643,241,50,
r_220,Copper Pipe Manufacturing,industrial_factory,copper_ingots,14,industrial_acids,1,,,,,,,,,70,copper_pipe,48,,,,,,,,,,,,Copper Products,,Precision Tube Drawing,3870,1451,147,
r_221,Deepwater Oil Extraction,offshore_oil_platform,,,,,,,,,,,,,30,crude_oil,45,,,,,,,,,deep_sea,,,Oil Extraction,,Dynamic-Positioning Drilling,1722,266,50,
r_222,Subsea Manifold Extraction,offshore_oil_platform,,,,,,,,,,,,,30,crude_oil,75,,,,,,,,,deposit:crude_oil,,,Oil Extraction,,Subsea Production Systems,1722,266,50,
r_223,Floating Offshore Wind Power,offshore_wind_farm,,,,,,,,,,,,,0,power,1120,,,,,,,,,deep_sea,,,Power,,Floating Offshore Wind Farms,500,100,50,
r_224,Hydroelectric Power,hydro_power_plant,,,,,,,,,,,,,0,power,370,,,,,,,,,river,,,Power,,hydro,500,100,50,
r_225,Battery Storage,battery,,,,,,,,,,,,,0,,,,,,,,,,,,,,Batteries,,,500,100,50,lithium_battery;sodium_battery;iron_battery
r_226,Magnetic Separation Electrolysis,electrolyser,ree_ore,10,pure_water,4,,,,,,,,,240,refined_ree,7,,,,,,,,,,,,Electrochemistry,,Molten Salt Alloy Electrolysis,784,294,50,
r_227,Rudimentary Lithium Refinement,furnace,lithium_ore,8,industrial_acids,3,,,,,,,,,100,lithium_carbonate,9,,,,,,,,,,,,Electrochemistry,,,616,231,50,
r_228,Bio Ethylene,chem_plant,biomass,10,,,,,,,,,,,100,ethylene,28,,,,,,,,,,,,Biofuels,,Biomass Cracking,2408,903,91,
